Romeu, 28.
Roriz, 106.
Rubiães, 79-80. 
Sabroso (castro), 61.
Sabugal, 160.
Sabugueiro, 197.
Sacavém, 294.
Sacoias, 30, 36.
Salir (Algarve), 378.
Salreu, 120.
Salvador, 201, 249.
Salvaterra de Magos, 252.
Salzedas, 189, 191. 218.
Samardã, 20, 44.
Sameiro (Braga), 95, 97. 
Samel, 127.
Sancheira Grande, 266.
Sande, 106.
Sanlucar, 369. 
Santa Cruz do Bispo, 65.
Santa Eulália, 125.
Santa Marta de Penaguião, 47.
Santana, 308.
Santarém, 249-251.
Santa Rita (praia de), 278.
Santiago do Cacém, 387.
Santiago do Escoural, 314.
Santo António de Avenilha, 371.
Santo António da Neve, 145.
Santo Tirso, 63.
São Bartolomeu de Messines, 379-380.
São Bento da Porta Aberta, 102.
São Brás, 353.
São Cucufate, 361-362.
São Gens, 352.
São João de Gatão, 50, 64.
São João de Tarouca, 189, 192-195, 265, 335.
São Jorge, 237, 241.
São Jorge da Beira, 206-210.
São Lourenço de Almansil, 377-378.
São Marcos, 135-136.
São Marcos da Ataboeira, 365.
São Martinho de Mouros, 185-186.
São Miguel de Ceide, 63-64.
São Pedro das Águias, 195-197.
São Pedro da Cadeira, 260.
São Pedro de Muel, 234.
São Quintino, 253-255, 257.
São Romão, 197.
São Silvestre, 135.
São Vicente, 325.
Sardoal, 220.
Seia, 197.
Seixal, 306.
Sendim, 22.
Senhora da Rocha, 377.
Serpa, 352, 354-355.
Serra, 226.
Serra d'El-Rei, 269.
Sertã, 219-220. 
Sesimbra, 308.
Seteais, 282.
Setúbal, 307, 309.
Silves, 379-380.
Sines, 380, 387.
Sintra, 281, 323, 326, 338, 358, 367.
Sistelo, 86.
Sítio, 242.
Soajo, 88.
Sobral de Monte Agraço, 253.
Sortelha, 158, 160.
Soure, 131.
Sousel, 325. 
Tabuado, 52.
Tancos, 225.
Tareja, 370.
Tarouca, 189, 192.
Tavira, 371-372.
Telões, 54-55.
Tendais, 185. 
Tenões, 95.
Tentúgal, 135, 167.
Terena, 341. 
Terras de Bouro, 102.
Tocha, 129
Tomar, 226-228, 231-232
Torrão, 314. 
Torre (serra da Estrela), 197.
Torre das Águias, 319, 323.
Torre de Moncorvo, 24-25, 27.
Torre de Palma, 330-331, 335.
Torres Novas, 225, 246-248.
Torres Vedras, 253, 256, 258-259, 261, 265.
Toubres, 42. 
Trancoso, 170-171.
Trindade, 363
Trofa, 125, 150
Turcifal, 259-261. 
Ucanha, 189-192. 
Vagos, 124.
Vagueira, 124
Vale de Cambra, 150.
Vale de Estrela, 197.
Vale de Prazeres, 206.
Valença, 82. 
Valência de Alcântara, 325.
Valhelhas, 197.
Valongo de Milhais, 42.
Varatojo, 261-263
Varge, 30. 
Velosa, 166, 168.
Vermiosa, 174-175, 206.
Viana do Aientejo, 359-361.
Viana do Castelo, 73, 75, 77-78, 82, 99, 114.
Vidigueira, 263, 359.
Vieira de Leiria, 234.
Vieira do Minho, 103.
Vila Alva, 361.
Vila do Bispo, 386-387.
Vila do Conde, 66-68, 139.
Vila Flor, 27-28.
Vila de Frades, 361.
Vila Franca de Xira, 252.
